"","mean","sd","2.5%","97.5%","n_eff","Rhat4","LOS_l","LOS_u"
"v_Intercept_survK[1]",-2.51601529257537,1.03059787156612,-4.71608216965579,-0.651430348388588,6571.29032696254,0.999716165741585,0.283,99.717
"v_Intercept_survK[2]",-2.83948297827472,1.86793878942231,-6.76179742190292,0.512362728947889,3029.853951459,1.00059189123169,5.283,94.717
"v_Intercept_survK[3]",-2.19265177731533,0.909571929034385,-4.15439883299041,-0.548110216724273,2213.25413951996,1.00169966181854,0.267,99.733
"v_Intercept_survK[4]",-1.74291235448996,1.24165390332798,-4.22696872982794,0.734444781542259,2595.42995944129,1.00153885616254,7.8,92.2
"sigma_stream_K",2.63333392691461,0.869425058681557,1.36965583482504,4.70557380577237,2769.88934821669,1.00129050779972,100,0
"b_area_survK",-0.56330583686959,1.48115268633614,-3.65009504508417,2.17497473606084,2300.86250361089,1.00117157246399,36.517,63.483
"b_canopy_survK",-0.0878074659222963,1.02742085261038,-2.21533178636699,1.84722135066408,1949.81731648887,1.00189517272594,48.683,51.317
"b_areaNG_survK",0.750330509143326,1.58739279679687,-2.20895514713122,3.99249029671231,2240.71391610324,1.00199555381631,66.85,33.15
"b_canopyNG_survK",0.295379157346431,3.16963835305592,-5.4827964089767,6.88510207193368,2015.11326118254,1.00202712947106,51.933,48.067
"Intercept_growK",22.6295481490138,1.51511596499151,19.6593274772494,25.6908560176168,4007.67139033276,1.00055146398816,100,0
"b_NG_growK",0.0573642810374973,0.83338198102703,-1.59731320263129,1.68236768049759,4654.59537502554,0.999557986361385,53.417,46.583
"b_z_growK",0.758148110224945,0.052981899100109,0.652252952539037,0.861861311952434,10186.0405153298,0.999703765450064,100,0
"b_z2_growK",0.0016787696541572,0.000514395174385616,0.000664713336224739,0.0027076777171043,10679.9595905268,0.999620329573675,99.933,0.0669999999999931
"b_zNG_growK",-0.0136581209266006,0.0264568144387096,-0.0663409946901678,0.0394456399203,9737.72621711525,0.999826622383602,29.833,70.167
"v_Intercept_growK[1]",1.40419011420285,1.86028914601923,-2.19406922725386,5.19010980666862,5106.60927630375,1.0002465064917,78.45,21.55
"v_Intercept_growK[2]",0.554687988153666,2.11520756844135,-3.68403163407987,4.78463712762657,4593.58311292382,1.00144950251761,60.433,39.567
"v_Intercept_growK[3]",-1.23980521461633,1.57106365164464,-4.38665005958565,1.93773479145457,4111.48474206336,1.00114695370797,19.567,80.433
"v_Intercept_growK[4]",-0.253798200191939,1.98229504294127,-4.29394699329231,3.72534097900746,3177.87075045506,0.999723355788807,44.55,55.45
"sigma_growK",2.01127289390358,0.15608089343221,1.72744927980367,2.35219301215009,8980.75141054882,1.0001429066899,100,0
"b_area_growK",-2.21969610806387,1.59862989763785,-5.36798405580731,0.935808706344814,3300.93386606733,1.00010446541243,7.767,92.233
"b_canopy_growK",-1.54576404568799,1.0639336595366,-3.62387421379944,0.512159016495838,2919.1246562202,1.00027947891078,7.317,92.683
"b_areaNG_growK",1.35706019392515,1.86165761403207,-2.38857593276657,4.94958953632662,3482.19561333496,1.00017390821922,77.4,22.6
"b_canopyNG_growK",2.9058508673567,3.42901605872418,-3.8730062291081,9.57386898617531,3017.42413079611,1.00015824251431,47.283,52.717
"Intercept_recrK",-0.163117898228566,0.634510761402796,-1.55820027722362,0.678375053943432,7891.1541507822,0.999941901309767,69.333,30.667
"b_NG_recrK",0.452200291976529,0.904882365216062,-1.3324716911227,2.22387271055422,9531.42875892925,0.999721939990768,44.317,55.683
"b_z_recrK",-0.00164691514755743,0.0124668733859262,-0.0261505634570028,0.0233812539143973,6793.79331848198,0.999703771647736,98.417,1.583
"b_zNG_recrK",0.0338230295554899,0.0154543794171899,0.00371997449802465,0.0650635042849993,7485.75349507816,0.999716804962459,57.133,42.867
"v_Intercept_recrK[1]",0.417545372972429,2.69716656607999,-4.94505138464759,5.80378623434021,7231.6810355575,0.999696931589723,24.45,75.55
"v_Intercept_recrK[2]",-1.50153367818652,2.41495605667012,-6.4826181372893,3.23020837383352,2721.40744118317,1.00179316393721,95.05,4.95
"v_Intercept_recrK[3]",2.73376607865289,1.76692981807216,-0.569423321598537,6.5646460398238,3300.26401912696,1.00081291820955,91.367,8.633
"v_Intercept_recrK[4]",1.97256537672852,1.48879172979776,-0.738224443655569,5.04603489935012,5442.14967012153,1.00012166278697,44.217,55.783
"b_area_recrK",-0.397249437115098,3.00478049174678,-6.43175741444083,5.76937776610581,2397.06797161593,1.00226340376671,76.933,23.067
"b_canopy_recrK",1.86231960516713,2.66123564985949,-3.18284396093645,7.37608752367838,2521.42789280538,1.00184153597207,47.883,52.117
"b_areaNG_recrK",-0.117395558291746,3.26132780347577,-6.75754813374804,6.29188871407504,2570.62123573944,1.00173020167481,38.767,61.233
"b_canopyNG_recrK",-1.22248674179164,4.90212262060014,-10.9908059289957,8.66408438146544,2277.407051688,1.00208165041941,0,100
