"","Intercept_survG","b_NK_survG","b_z_survG","b_zNK_survG","v_Intercept_survG.1","v_Intercept_survG.2","v_Intercept_survG.3","v_Intercept_survG.4","sigma_stream_G","Intercept_growG","b_NK_growG","b_z_growG","b_zNK_growG","v_Intercept_growG.1","v_Intercept_growG.2","v_Intercept_growG.3","v_Intercept_growG.4","sigma_growG","Intercept_recrG","b_NK_recrG","b_z_recrG","b_zNK_recrG","v_Intercept_recrG.1","v_Intercept_recrG.2","v_Intercept_recrG.3","v_Intercept_recrG.4","Intercept_survK","b_NG_survK","b_z_survK","b_zNG_survK","v_Intercept_survK.1","v_Intercept_survK.2","v_Intercept_survK.3","v_Intercept_survK.4","sigma_stream_K","Intercept_growK","b_NG_growK","b_z_growK","b_z2_growK","b_zNG_growK","v_Intercept_growK.1","v_Intercept_growK.2","v_Intercept_growK.3","v_Intercept_growK.4","sigma_growK","Intercept_recrK","b_NG_recrK","b_z_recrK","b_zNG_recrK","v_Intercept_recrK.1","v_Intercept_recrK.2","v_Intercept_recrK.3","v_Intercept_recrK.4","lp__"
"3457",0.617288,-0.130463,0.0165273,-0.0194568,-0.262277,-0.40557,0.458214,0.270495,0.896293,19.1196,0.781314,0.69807,0.0292177,0.612441,1.75777,-0.521634,-0.283759,1.0875,0.722897,0.174125,0.134322,0.0441102,-0.233882,-0.16915,-0.415133,-0.170424,1.84547,-0.277228,0.0265782,-0.0326007,-2.02089,-2.47216,-2.6186,-1.64303,1.43931,23.0342,-1.19672,0.74236,0.00180023,0.0238496,0.489602,2.31838,-0.283289,-1.12433,2.00474,-1.13998,-1.93127,0.0671904,0.0262848,-0.409689,-0.543564,-2.82672,1.43458,-546.8
"3458",0.533432,-0.0397523,-0.00188701,0.0220418,-0.447516,-0.234745,0.607892,-0.184438,0.894763,19.7694,0.808842,0.707906,0.0183624,0.046692,0.75598,-1.20935,-0.845215,1.02418,0.803429,0.433681,0.115883,0.0588162,-0.433804,-0.0730255,-0.630432,-0.147203,1.39202,-0.458898,-0.00514526,0.0135439,-1.12882,-1.24287,-1.35176,-0.966459,1.71712,22.3947,-0.793178,0.719285,0.00226819,-0.000648301,1.40096,2.86596,0.569132,-0.66053,1.95029,-0.862086,-1.0086,0.078749,-0.0114076,-0.510269,-1.45886,-2.54672,0.228689,-545.931
"3459",0.169839,0.0388586,-0.106721,0.120405,0.0882175,-0.0881637,0.592691,0.250984,0.817746,20.2866,0.631377,0.716438,0.00671401,-0.358421,0.542033,-1.60173,-1.56887,1.03608,0.684075,0.487474,0.10508,0.0819025,-0.41443,-0.0716246,-0.403585,-0.134691,1.45314,-0.818046,-0.00304776,0.0143855,-0.890968,-1.20007,-1.30016,-0.581004,1.57414,22.7709,-1.66518,0.795889,0.00117412,0.0326248,0.733504,2.56561,-0.566722,-0.646535,1.87596,-1.46389,-1.68578,0.0758174,0.0089956,-0.139265,-0.784882,-2.40558,1.45715,-538.594
"3460",0.180172,0.248599,0.0077566,0.0997118,-0.321116,-0.00363668,0.976961,0.545476,0.912552,19.1995,0.553898,0.716933,-0.0188709,0.715879,1.82405,-0.54614,-0.231059,1.02544,0.636094,0.164542,0.108703,0.104129,-0.213901,0.147095,-0.292031,-0.141299,1.77017,-1.01217,-0.00662506,0.0269245,-1.97385,-1.82914,-1.32986,-0.792529,1.48088,21.3121,-0.587603,0.787195,0.00125849,0.0108177,3.22321,3.61979,1.05407,0.314583,1.82156,-1.36316,-1.79696,0.066269,0.0210109,-0.647422,-0.276902,-2.41896,1.61677,-541.268
"3461",0.449761,-0.256021,0.0792419,-0.0771722,0.0232253,-0.530332,1.13515,-0.451604,1.59103,18.8285,0.629597,0.755073,-0.0530644,0.916637,2.05336,-0.202684,-0.0476473,0.991373,1.19061,0.244238,0.131982,0.0692898,-0.747656,-0.540904,-0.845556,-0.573278,1.78427,0.188055,0.00680987,-0.0078681,-2.05102,-2.14072,-2.23209,-1.49173,2.9172,25.3335,-1.33225,0.772424,0.00136049,0.0068103,0.0337638,0.131744,-2.2571,-3.30978,1.85359,-0.841902,-1.20222,0.0817635,0.00662996,-1.4558,-1.36986,-4.02185,0.59837,-543.981
"3462",0.523697,-0.454384,-0.0713811,0.0774873,0.0257288,-0.130321,0.966611,0.204394,0.93722,18.4511,0.734028,0.71577,-0.0167874,1.49426,2.55292,0.0896714,0.683432,0.980382,0.631435,0.419468,0.145246,0.0565487,-0.277927,-0.183658,-0.42855,-0.0792832,1.77793,-0.315783,0.0252544,-0.0221098,-2.02902,-2.32557,-2.21176,-1.15362,1.81716,22.9781,-1.02506,0.828256,0.000735077,0.044448,0.667554,1.78505,-0.865628,-1.25005,1.65485,-1.54432,-1.49128,0.0782451,0.0132632,-0.707233,-0.799665,-2.76447,1.52765,-545.513
"3463",1.37044,-0.096936,0.00515442,0.0227796,-0.724077,-0.912867,0.326126,-1.0393,0.764228,18.2621,0.653977,0.730444,-0.0558897,1.43338,2.57297,0.471034,0.67727,1.0616,1.00083,0.0958038,0.117364,0.0727298,-0.50788,-0.475438,-0.493624,-0.249705,1.92386,-0.778549,-0.0225957,0.0327881,-1.3311,-1.1734,-1.62582,-0.932314,1.5491,22.2657,-1.33619,0.722632,0.00171427,0.0390189,1.94865,3.56314,1.49115,0.0367251,2.12147,-1.68243,-1.27361,0.0790377,0.00756628,-0.656923,-0.224081,-2.88576,1.67047,-554.238
"3464",0.636393,0.103004,0.0131897,0.0100722,-0.0168188,-0.778473,0.45926,-0.525666,0.680931,19.5669,0.544123,0.686597,0.0402342,0.271849,1.47318,-0.897425,-0.321865,0.892026,0.877971,0.538734,0.112656,0.065172,-0.641552,-0.225168,-0.916976,-0.26405,2.20852,-0.352702,-0.0149791,0.00968934,-1.99536,-2.18158,-1.76161,-1.62359,1.92437,23.2968,-1.55614,0.738334,0.00172905,0.0267186,1.66737,3.01536,-0.0347669,-0.701155,1.75833,0.447639,-1.39945,0.0709219,0.0143646,-2.50861,-2.32754,-4.70818,-0.414562,-547.725
"3465",0.859174,-0.312316,0.0163799,0.0262942,-0.644964,-0.718327,0.653369,-0.530567,0.65157,19.9417,0.550391,0.724003,-0.0433961,-0.0876731,0.933238,-1.29974,-1.08345,0.92565,0.875407,0.576855,0.158014,0.00548635,-0.713226,-0.358314,-0.714304,-0.380087,1.52012,-0.274779,0.0176099,-0.0106662,-2.19345,-1.87893,-1.8012,-0.765312,3.10893,23.5881,-1.29022,0.754946,0.00161891,0.0119104,1.12891,2.01196,-0.577343,-0.634938,1.94801,-1.53819,-1.7331,0.0834478,0.0187579,-1.48918,-0.945773,-2.92735,1.69228,-542.704
"3466",0.252558,-0.0905023,-0.00576174,0.0608721,-0.0412705,-0.0501699,0.679813,0.52824,0.485125,19.7507,0.528881,0.710074,-0.0315714,0.0913394,1.24871,-1.05507,-0.506409,1.02048,0.622849,0.385602,0.108024,0.064325,-0.236457,0.110118,-0.413539,-0.0442219,1.57149,-0.525732,0.0109087,0.00851873,-2.34665,-2.41419,-1.45871,-0.428236,2.29343,22.6805,-1.36429,0.733222,0.00187438,0.0281412,2.09901,3.97173,0.310688,-0.671458,1.74612,-1.03625,-1.82993,0.0676664,0.0248875,-1.2249,-0.78031,-2.93551,1.40165,-541.639
